dagi_id,navn,nummer,afstemningssted_navn,kommune_id,opstillingskreds_nummer,opstillingskreds_dagi_id,afstemningssted_adresse,kommune_navn,kommune_dagi_id
703190,Arentsminde,10,Arentsminde Cafeteria,849,86,403592,"Thyvej 16, Arentsminde, 9460 Brovst",Jammerbugt,389205
704750,Thorup,14,Thorup Forsamlingshus,849,86,403592,"Toftholmvej 16, V Thorup, 9690 Fjerritslev",Jammerbugt,389205
707632,Fjerritslev,13,Idrætscenter Jammerbugt,849,86,403592,"Brøndumvej 16B, 9690 Fjerritslev",Jammerbugt,389205
711896,Vedsted,4,Birkelse Hallen,849,86,403592,"Gl. Landevej 62B, Birkelse, 9440 Aabybro",Jammerbugt,389205
710716,Gjøl,5,Gjøl Kro,849,86,403592,"Fjordgade 18, Gjøl, 9440 Aabybro",Jammerbugt,389205
749357,V. Hjermitslev,7,Lunden,849,86,403592,"Assenbækvej 33, V. Hjermitslev, 9700 Brønderslev",Jammerbugt,389205
701514,Hune,20,Hune Forsamlingshus,849,86,403592,"Vesterhavsvej 27, 9492 Blokhus",Jammerbugt,389205
701540,Nørhalne,3,Nørhalne Hallen,849,86,403592,"Gustav Zimmersvej 27, Nørhalne, 9430 Vadum",Jammerbugt,389205
706102,Halvrimmen,9,Halvrimmen Forsamlingshus,849,86,403592,"Banevej 7, Halvrimmen, 9460 Brovst",Jammerbugt,389205
704764,Jetsmark,18,Jetsmark Idrætscenter,849,86,403592,"Bredgade 140, 9490 Pandrup",Jammerbugt,389205
707638,Skovsgård,12,Skovsgård Hotel,849,86,403592,"Hovedgaden 26, Skovsgård, 9460 Brovst",Jammerbugt,389205
709250,Tranum,11,Tranum Forsamlinghus,849,86,403592,"Tranhøj 13, Tranum, 9460 Brovst",Jammerbugt,389205
703310,Saltum,21,Nolshallen,849,86,403592,"Nolsvej 1, 9493 Saltum",Jammerbugt,389205
701500,Biersted,2,Biersted aktivitetscenter,849,86,403592,"Stationsvej 51, Biersted, 9440 Aabybro",Jammerbugt,389205
749359,Ingstrup,6,Ingstrup Forsamlingshus,849,86,403592,"Tværgade 11, Ingstrup, 9480 Løkken",Jammerbugt,389205
711858,Brovst,8,Sport og Kulturcenter,849,86,403592,"Damengvej 2, 9460 Brovst",Jammerbugt,389205
709280,Aabybro,1,DGI-Huset,849,86,403592,"Jens Møllersvej 3, 9440 Aabybro",Jammerbugt,389205
703196,Trekroner,16,Trekroner Landsbycenter,849,86,403592,"Skolevænget 3B, Trekroner, 9690 Fjerritslev",Jammerbugt,389205
749358,Ørebro,15,Ørebroskolen,849,86,403592,"Ørebrovej 128, Ørebro, 9690 Fjerritslev",Jammerbugt,389205
