afstemningsområde_dagi;afstemningsområde;kommune;afgivne_stemmer;stemmeberettigede;stemmeprocent
710282;Nykøbing;Morsø Kommune;5950;8000;74,375
709924;Stouby;Hedensted Kommune;1028;1446;71,0926694329184
705434;Fjelsted/Harndrup;Middelfart Kommune;871;1272;68,4748427672956
711436;Give;Vejle Kommune;3516;5204;67,56341275941583
701758;10. Kreds, Søerne;Frederiksberg Kommune;7354;9429;77,99342454130873
710340;Blicherskolen;Randers Kommune;1501;2043;73,47038668624572
703960;Engum Nord;Vejle Kommune;1699;2343;72,5138711054204
709856;Langsøskolen;Silkeborg Kommune;1804;2440;73,9344262295082
706142;Ulfborg;Holstebro Kommune;1825;2618;69,70970206264325
702010;Niverød;Fredensborg Kommune;2692;3750;71,78666666666666
704216;Sofiendal;Faxe Kommune;4446;6985;63,65068002863279
703196;Trekroner;Jammerbugt Kommune;620;869;71,3463751438435
705322;Marslev;Kerteminde Kommune;1203;1750;68,74285714285713
711374;Virupskolen, Hjortshøj;Aarhus Kommune;2375;2852;83,27489481065918
748072;Køng;Assens Kommune;570;768;74,21875
708896;Egebjerg;Odsherred Kommune;884;1193;74,0989103101425
705206;Bækkegårdsskolen;Egedal Kommune;3133;4522;69,28350287483414
709804;Tårnby;Tårnby Kommune;3291;5338;61,65230423379543
701178;Jebjerg Forsamlingshus;Randers Kommune;506;678;74,63126843657817
749403;9. Sluseholmen;Københavns Kommune;4008;6155;65,11779041429732
706840;Uldum;Hedensted Kommune;915;1282;71,37285491419657
701632;Saksild - Nølev;Odder Kommune;1213;1491;81,35479543930248
701870;Lille Næstved Skole - Digtervej;Næstved Kommune;3055;4116;74,22254616132167
710502;Gislinge;Holbæk Kommune;1931;2744;70,37172011661808
705374;Vindinge Forsamlingshus;Nyborg Kommune;1501;1878;79,92545260915868
708612;Brejning Syd;Vejle Kommune;1758;2570;68,40466926070039
712094;Østmøn;Vordingborg Kommune;826;1191;69,35348446683459
702246;Ærøskøbing;Ærø Kommune;1443;1760;81,98863636363637
702944;Sjørring;Thisted Kommune;1700;2295;74,07407407407408
708660;Hørby;Mariagerfjord Kommune;2076;2823;73,53878852284804
706280;Hatting;Horsens Kommune;2262;3035;74,53047775947282
711018;Nørre Vedby;Guldborgsund Kommune;1209;1800;67,16666666666666
711932;1. Nord;Københavns Kommune;5138;7273;70,64485081809431
725358;6. Vest;Københavns Kommune;4078;6846;59,5676307332749
705180;Ringkøbing;Ringkøbing-Skjern Kommune;5592;7522;74,34193033767616
701142;Vedbæk;Rudersdal Kommune;4837;6193;78,10431131923139
701676;Gullestrup;Herning Kommune;981;1540;63,701298701298704
710622;Kongevej, Sønderborg;Sønderborg Kommune;4286;6848;62,5876168224299
708878;Tølløse;Holbæk Kommune;3069;4127;74,36394475405864
708586;Jelling Nord;Vejle Kommune;3021;3772;80,09013785790032
702854;Vrå;Hjørring Kommune;2296;3369;68,15078658355596
711210;Vorgod-Barde;Ringkøbing-Skjern Kommune;1375;1850;74,32432432432432
711624;Fritidscentret;Randers Kommune;2302;4151;55,456516502047705
748636;Otterup;Nordfyns Kommune;3737;5362;69,6941439761283
706240;Endelave;Horsens Kommune;110;151;72,84768211920529
700808;Brenderup;Middelfart Kommune;1572;2145;73,2867132867133
701060;Fur;Skive Kommune;545;644;84,62732919254658
711078;Brøns;Tønder Kommune;507;781;64,9167733674776
712050;Lind;Herning Kommune;4111;5277;77,90411218495356
709952;FrydenlundHUSET, Aarhus V;Aarhus Kommune;6205;10222;60,702406574055956
710476;Hedegårdene;Roskilde Kommune;2705;4078;66,33153506620893
703202;Hammelev;Haderslev Kommune;945;1272;74,29245283018868
708782;CSV-Skolen;Odense Kommune;6985;11875;58,82105263157895
710008;Gedsted;Vesthimmerlands Kommune;1015;1448;70,09668508287292
748851;Slagelse - Vesthallen;Slagelse Kommune;3705;5274;70,25028441410694
700858;Aars;Vesthimmerlands Kommune;5457;7620;71,61417322834646
707424;Løvvanghallen;Aalborg Kommune;3734;6454;57,855593430430744
