kandidat,parti,stemmer
Karsten Søndergaard,Venstre,1794
Vicky Holst Rasmussen,Socialdemokratiet,1532
Ulrik John Nielsen,L,1159
Mai Nørreskov,Socialdemokratiet,838
Jens Skov,SF,612
Rikke Mortensen,Radikale,607
Johan Hahn,E,599
Bo Brøndum Pedersen,E,510
Birgitte Neergaard-Kofod,Konservative,491
Edith Thingstrup,Liberal Alliance,459
Anne Mollerup Lanz,Venstre,372
Janus Veje,L,350
Lars Winther Andersen,L,350
Cirkeline Kajhøj,Radikale,343
Anders Bo Larsen,Venstre,334
Christine Søjbjerg,Konservative,328
Bo Vesth,Venstre,305
Allan Bøwig,Dansk Folkeparti,299
Henrik Færch Fromholdt,Konservative,297
Jonathan Kristensen,SF,263
Kristian Nørgaard,Venstre,230
Dennis Roland Pedersen,Radikale,220
Helle Wilken Bovien,Enhedslisten,219
Morten Lyager,Socialdemokratiet,189
Christian Skovbo Hvistendahl-Hansen,Danmarksdemokraterne,189
Lars Winther,Liberal Alliance,175
Anne Dahl Thing,Enhedslisten,169
Peter Freiesleben,Venstre,167
Freja Vesterløkke,L,167
Charlotte Haagendrup,Moderaterne,166
Ole B. Hovøre,Venstre,165
Frederikke Pudselykke,L,165
Christian Sødergren,Dansk Folkeparti,148
Birgitte Falk,Venstre,148
Brian Øllegaard,Socialdemokratiet,134
Helle Anna Elisabeth Nielsen,SF,134
Mia Nehm,E,133
Ole Eckhaus,L,125
Niels Lindhardt Johansen,L,121
Sandra Møller Svendsen,Enhedslisten,119
Michael Madsen,E,116
Simone Vinter,Konservative,116
Alexander Dahl,E,111
Lars Falk Hansen,Konservative,111
Karen Juul,SF,109
Morten Spongenberg Thorup,Socialdemokratiet,99
Bent Larsen,Dansk Folkeparti,98
Søren Radoor,Enhedslisten,96
Illa Jepsen,L,93
Marianne Røgen,Socialdemokratiet,87
Sheldon Mau,Socialdemokratiet,84
Birgit Erichsen,Danmarksdemokraterne,84
Tobias Fisch Albrechtsen,L,84
Susanne Kongsaa,L,81
Bo Jensen,Liberal Alliance,81
Henrik Ørnebjerg,Enhedslisten,76
Henrik Sass Christensen,Socialdemokratiet,72
Thomas Skov Rasmussen,Venstre,64
Sarah Jeno,Moderaterne,55
Bent Dolowy Hansen,L,54
Allan Kreutzfeldt,Socialdemokratiet,54
Claus Bruncke,L,53
Martin Hjort Vetling,Liberal Alliance,53
Mikkel Seierø,L,49
Stephan Grubbe,Radikale,49
Hanne Roden,SF,48
Mikkel Skovlyst,Alternativet,47
Nikolaj Wesley Simonsen,Moderaterne,46
Christian Estrup,Liberal Alliance,45
Randi Jørgensen,SF,45
Lars Nielsen,Danmarksdemokraterne,44
Frederik Stub,L,41
Tenna Knudstrup,Konservative,41
Sinne Eliasen,E,35
Jakob Brysting,SF,33
Bo Bangsgaard,Liberal Alliance,30
Henrik D. Mikkelsen,Moderaterne,30
Kim Larsen,L,30
Kamilla Lindgren,SF,29
Karl Vilhelm Nielsen,L,28
Henrik Severin Hansen,SF,24
Maria Reneé Schwartz,Liberal Alliance,22
P. Michael Øllgaard,Konservative,18
Jørgen Clausen,L,16
Anders Worsaae,Enhedslisten,14
Pia Gjerlev Hollund,Radikale,14
Paskar Paramasamy,L,12
Paul Aywaz,Radikale,11
Henrik Schwartz,Liberal Alliance,11
Ric Jakobsen,Radikale,9
Annette Svensson,Liberal Alliance,8
Peter Christensen,Venstre,5
Hans Christian Fürstenheim,Liberal Alliance,4
