Afstemningsområde;Bogstavbetegnelse;Listenavn;Navn;Stemmetal
1. Bagsværd;A;Socialdemokratiet;Listestemmer;355
1. Bagsværd;A;Socialdemokratiet;Trine Græse;385
1. Bagsværd;A;Socialdemokratiet;Kristine Henriksen;26
1. Bagsværd;A;Socialdemokratiet;Jakob Skovgaard Koed;24
1. Bagsværd;A;Socialdemokratiet;Ole Skrald;20
1. Bagsværd;A;Socialdemokratiet;Katrine Skov;37
1. Bagsværd;A;Socialdemokratiet;Tom Vang Knudsen;7
1. Bagsværd;A;Socialdemokratiet;Rikke Louise Schilling;43
1. Bagsværd;A;Socialdemokratiet;Line Stockmal Ammundsen;36
1. Bagsværd;A;Socialdemokratiet;Peter Berg Nellemann;11
1. Bagsværd;A;Socialdemokratiet;Bjarne Henriksen;11
1. Bagsværd;A;Socialdemokratiet;Henrik V. Pedersen;1
1. Bagsværd;A;Socialdemokratiet;Calle Greisholm;38
1. Bagsværd;A;Socialdemokratiet;Anthon Berentzen;26
1. Bagsværd;A;Socialdemokratiet;Kristian Niebuhr;7
1. Bagsværd;A;Socialdemokratiet;Allan Olsen;2
1. Bagsværd;B;Radikale Venstre;Listestemmer;116
1. Bagsværd;B;Radikale Venstre;Christina Rittig Falkberg;61
1. Bagsværd;B;Radikale Venstre;Pia Skou;63
1. Bagsværd;B;Radikale Venstre;Claus Wachmann;16
1. Bagsværd;B;Radikale Venstre;Lis Smidsholm;7
1. Bagsværd;B;Radikale Venstre;Martin Karbech Mouritsen;1
1. Bagsværd;B;Radikale Venstre;Jakob Trier;1
1. Bagsværd;B;Radikale Venstre;Sara Edwige Kobli;1
1. Bagsværd;B;Radikale Venstre;Nick Nouri;0
1. Bagsværd;B;Radikale Venstre;Anne Parbst;1
1. Bagsværd;B;Radikale Venstre;Claus Staal;9
1. Bagsværd;B;Radikale Venstre;Flemming Ytzen;2
1. Bagsværd;B;Radikale Venstre;Mads Bondo Dydensborg;0
1. Bagsværd;B;Radikale Venstre;Bjarne Tolboe Christiansen;2
1. Bagsværd;C;Det Konservative Folkeparti;Listestemmer;191
1. Bagsværd;C;Det Konservative Folkeparti;Henrik Sørensen;77
1. Bagsværd;C;Det Konservative Folkeparti;Thomas Germann;40
1. Bagsværd;C;Det Konservative Folkeparti;Rebecca Plomin;40
1. Bagsværd;C;Det Konservative Folkeparti;Jacqueline Kristensen;16
1. Bagsværd;C;Det Konservative Folkeparti;Lars Abel;192
1. Bagsværd;C;Det Konservative Folkeparti;Mogens Busk Sørensen;4
1. Bagsværd;C;Det Konservative Folkeparti;Marianne Damgaard-Sørensen;21
1. Bagsværd;C;Det Konservative Folkeparti;Christa Kjær;4
1. Bagsværd;D;Nye Borgerlige;Listestemmer;57
1. Bagsværd;D;Nye Borgerlige;Jan Pless;50
1. Bagsværd;D;Nye Borgerlige;Carsten Toft;6
1. Bagsværd;F;SF - Socialistisk Folkeparti;Listestemmer;107
1. Bagsværd;F;SF - Socialistisk Folkeparti;Serdal Benli;137
1. Bagsværd;F;SF - Socialistisk Folkeparti;Dorthe Wichmand Müller;33
1. Bagsværd;F;SF - Socialistisk Folkeparti;Signe Ejersbo;18
1. Bagsværd;F;SF - Socialistisk Folkeparti;Lene Søndergaard;40
1. Bagsværd;F;SF - Socialistisk Folkeparti;Frederik Hoedeman;1
1. Bagsværd;F;SF - Socialistisk Folkeparti;Holger Grohganz;15
1. Bagsværd;F;SF - Socialistisk Folkeparti;Bo Bülow;2
1. Bagsværd;F;SF - Socialistisk Folkeparti;Peter Malinovsky;10
1. Bagsværd;F;SF - Socialistisk Folkeparti;Gunnar Svendsen;3
1. Bagsværd;F;SF - Socialistisk Folkeparti;Anne Breum;8
1. Bagsværd;H;Sahar Aslani;Listestemmer;1
1. Bagsværd;H;Sahar Aslani;Sahar Aslani;3
1. Bagsværd;I;Liberal Alliance;Listestemmer;37
1. Bagsværd;I;Liberal Alliance;Jørgen Juhl;21
1. Bagsværd;I;Liberal Alliance;David Ibsen;12
1. Bagsværd;I;Liberal Alliance;Kim Fuglsang Laczek;8
1. Bagsværd;I;Liberal Alliance;Jytte Tholstrup Svendsen;0
1. Bagsværd;K;Kristendemokraterne;Listestemmer;3
1. Bagsværd;K;Kristendemokraterne;Esben Frette Johnsen;6
1. Bagsværd;K;Kristendemokraterne;Bolette von Westphal;4
1. Bagsværd;L;Lokallisten Gladsaxe;Listestemmer;21
1. Bagsværd;L;Lokallisten Gladsaxe;Lise Tønner;28
1. Bagsværd;L;Lokallisten Gladsaxe;Lene Svendborg;23
1. Bagsværd;L;Lokallisten Gladsaxe;John Ellehammer;3
1. Bagsværd;L;Lokallisten Gladsaxe;Suleman Naim;21
1. Bagsværd;O;Dansk Folkeparti;Listestemmer;32
1. Bagsværd;O;Dansk Folkeparti;Susanne Damsgaard;43
1. Bagsværd;O;Dansk Folkeparti;Bonett Trusell;5
1. Bagsværd;O;Dansk Folkeparti;Klaus Kjær;8
1. Bagsværd;O;Dansk Folkeparti;Flemming H. Albrechtsen;3
1. Bagsværd;O;Dansk Folkeparti;Patricia Damsgaard;0
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Listestemmer;140
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Martin Skou Heidemann;163
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Astrid Søborg;119
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Lone Yalcinkaya;44
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Thekla Ravn;8
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Allan Juhl Feddersen;3
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Gunnar Sumberg;8
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Benedikte Claudinger;12
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Henrik Thormod Andersen;0
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Kenneth Colding;13
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Camilla Friis;38
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;René Wriedt;3
1. Bagsværd;V;Venstre, Danmarks Liberale Parti;Finn Kilbak;26
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;121
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Trine Henriksen;92
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Signe Rosa Skelbæk;33
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Michael Dorph Jensen;12
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Torben Madsen;11
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Casper Pedersen;4
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Shila Pourdeylami;21
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Sune Rastad Bahn;2
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Bertha M. Friis;9
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Morten Ravn Landerslev;1
1. Bagsværd;Ø;Enhedslisten - De Rød-Grønne;Patrick Okwonga;4
2. Hovedbiblioteket;A;Socialdemokratiet;Listestemmer;514
2. Hovedbiblioteket;A;Socialdemokratiet;Trine Græse;445
2. Hovedbiblioteket;A;Socialdemokratiet;Kristine Henriksen;58
2. Hovedbiblioteket;A;Socialdemokratiet;Jakob Skovgaard Koed;23
2. Hovedbiblioteket;A;Socialdemokratiet;Ole Skrald;41
2. Hovedbiblioteket;A;Socialdemokratiet;Katrine Skov;79
2. Hovedbiblioteket;A;Socialdemokratiet;Tom Vang Knudsen;11
2. Hovedbiblioteket;A;Socialdemokratiet;Rikke Louise Schilling;31
2. Hovedbiblioteket;A;Socialdemokratiet;Line Stockmal Ammundsen;68
2. Hovedbiblioteket;A;Socialdemokratiet;Peter Berg Nellemann;21
2. Hovedbiblioteket;A;Socialdemokratiet;Bjarne Henriksen;12
2. Hovedbiblioteket;A;Socialdemokratiet;Henrik V. Pedersen;7
2. Hovedbiblioteket;A;Socialdemokratiet;Calle Greisholm;97
2. Hovedbiblioteket;A;Socialdemokratiet;Anthon Berentzen;35
2. Hovedbiblioteket;A;Socialdemokratiet;Kristian Niebuhr;25
2. Hovedbiblioteket;A;Socialdemokratiet;Allan Olsen;15
2. Hovedbiblioteket;B;Radikale Venstre;Listestemmer;108
2. Hovedbiblioteket;B;Radikale Venstre;Christina Rittig Falkberg;70
2. Hovedbiblioteket;B;Radikale Venstre;Pia Skou;50
2. Hovedbiblioteket;B;Radikale Venstre;Claus Wachmann;2
2. Hovedbiblioteket;B;Radikale Venstre;Lis Smidsholm;2
2. Hovedbiblioteket;B;Radikale Venstre;Martin Karbech Mouritsen;0
2. Hovedbiblioteket;B;Radikale Venstre;Jakob Trier;3
2. Hovedbiblioteket;B;Radikale Venstre;Sara Edwige Kobli;16
2. Hovedbiblioteket;B;Radikale Venstre;Nick Nouri;1
2. Hovedbiblioteket;B;Radikale Venstre;Anne Parbst;0
2. Hovedbiblioteket;B;Radikale Venstre;Claus Staal;15
2. Hovedbiblioteket;B;Radikale Venstre;Flemming Ytzen;5
2. Hovedbiblioteket;B;Radikale Venstre;Mads Bondo Dydensborg;0
2. Hovedbiblioteket;B;Radikale Venstre;Bjarne Tolboe Christiansen;3
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Listestemmer;192
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Henrik Sørensen;68
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Thomas Germann;11
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Rebecca Plomin;33
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Jacqueline Kristensen;21
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Lars Abel;65
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Mogens Busk Sørensen;5
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Marianne Damgaard-Sørensen;18
2. Hovedbiblioteket;C;Det Konservative Folkeparti;Christa Kjær;11
2. Hovedbiblioteket;D;Nye Borgerlige;Listestemmer;80
2. Hovedbiblioteket;D;Nye Borgerlige;Jan Pless;59
2. Hovedbiblioteket;D;Nye Borgerlige;Carsten Toft;8
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Listestemmer;186
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Serdal Benli;154
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Dorthe Wichmand Müller;32
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Signe Ejersbo;41
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Lene Søndergaard;43
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Frederik Hoedeman;5
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Holger Grohganz;9
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Bo Bülow;9
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Peter Malinovsky;9
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Gunnar Svendsen;1
2. Hovedbiblioteket;F;SF - Socialistisk Folkeparti;Anne Breum;9
2. Hovedbiblioteket;H;Sahar Aslani;Listestemmer;1
2. Hovedbiblioteket;H;Sahar Aslani;Sahar Aslani;5
2. Hovedbiblioteket;I;Liberal Alliance;Listestemmer;43
2. Hovedbiblioteket;I;Liberal Alliance;Jørgen Juhl;9
2. Hovedbiblioteket;I;Liberal Alliance;David Ibsen;8
2. Hovedbiblioteket;I;Liberal Alliance;Kim Fuglsang Laczek;8
2. Hovedbiblioteket;I;Liberal Alliance;Jytte Tholstrup Svendsen;1
2. Hovedbiblioteket;K;Kristendemokraterne;Listestemmer;10
2. Hovedbiblioteket;K;Kristendemokraterne;Esben Frette Johnsen;6
2. Hovedbiblioteket;K;Kristendemokraterne;Bolette von Westphal;3
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Listestemmer;26
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Lise Tønner;46
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Lene Svendborg;33
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;John Ellehammer;7
2. Hovedbiblioteket;L;Lokallisten Gladsaxe;Suleman Naim;49
2. Hovedbiblioteket;O;Dansk Folkeparti;Listestemmer;62
2. Hovedbiblioteket;O;Dansk Folkeparti;Susanne Damsgaard;56
2. Hovedbiblioteket;O;Dansk Folkeparti;Bonett Trusell;16
2. Hovedbiblioteket;O;Dansk Folkeparti;Klaus Kjær;17
2. Hovedbiblioteket;O;Dansk Folkeparti;Flemming H. Albrechtsen;2
2. Hovedbiblioteket;O;Dansk Folkeparti;Patricia Damsgaard;1
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Listestemmer;181
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Martin Skou Heidemann;112
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Astrid Søborg;104
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Lone Yalcinkaya;57
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Thekla Ravn;11
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Allan Juhl Feddersen;6
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Gunnar Sumberg;11
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Benedikte Claudinger;4
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Henrik Thormod Andersen;5
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Kenneth Colding;16
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Camilla Friis;41
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;René Wriedt;0
2. Hovedbiblioteket;V;Venstre, Danmarks Liberale Parti;Finn Kilbak;16
2. Hovedbiblioteket;Ø;Enhedslisten - De Rød-Grønne;Listestemmer;194
2. Hovedbiblioteket;Ø;Enhedslisten - De Rød-Grønne;Trine Henriksen;97
